Add-PagefindMeta.ps1 — LIVE RUN — 2026-05-09 17:56:27
======================================================================
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\allowances.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\33-increases-to-allowances.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\34-sole-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\35-higher-qualifications-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\36-allowances-related-to-overtime-and-on-call.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\37-higher-duties-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\38-shift-work-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\39-change-of-shift-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\40-sleepover-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\41-travelling-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\42-travel-payment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\42A-travelling-and-relocation.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\43-working-away-from-home.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\44-uniform-and-laundry-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\44A-lead-apron-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\45-damaged-clothing-allowance.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\allowances\46-supervisor-allowance-medical-technician-and-renal.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\appendices.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\appendices\1-list-of-employers.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\appendices\2-wage-rates.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\appendices\3-allowances-and-top-of-band-payments.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\appendices\4-classification-definitions.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\appendices\5-letter-of-offer.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\appendices\6-certificate-of-service.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\85-classifications-definitions-and-wages.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\86-classification-and-reclassification.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\87-allied-health-manager-structure.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\88-trainee-supervision.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\89-supervision-and-management.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\90-workload-allocation-and-safe-staffing.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\90A-safe-rostering-and-fatigue.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\91-backfill.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\92-advertising-vacancies.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\93-replacement-positions.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\classification-staffing\94-contractors-and-labour-hire.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\consultation-disputes.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\consultation-disputes\13-consultation.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\consultation-disputes\13A-consultation-about-changes-to-rosters-or-hours-of.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\consultation-disputes\14-dispute-resolution-procedure.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\consultation-disputes\14A-independent-dispute-resolution-panel.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\consultation-disputes\15-performance-management.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\consultation-disputes\16-managing-conduct-and-performance.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\education-pd.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\education-pd\79-professional-development-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\education-pd\80-study-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\education-pd\81-examination-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\education-pd\82-in-service-education-and-training-royal-children-s.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\employment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\17-types-of-employment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\18-full-time-employment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\19-part-time-employment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\20-casual-employment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\21-casual-conversion.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\22-fixed-term-employment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\23-letter-of-offer.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\24-termination-of-employment.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\25-redundancy-and-related-entitlements.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\26-ending-employment-during-parental-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\employment\27-transition-to-retirement.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\47-hours-of-work.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\47A-right-to-disconnect.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\48-accrued-days-off.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\49-breaks.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\50-roster.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\50A-biometric-timekeeping.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\51-rates-for-saturdays-and-sundays.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\52-overtime.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\53-recall-return-to-workplace.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\54-recall-no-return-to-workplace.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\55-rest-period-after-overtime-recall-ten-hour-break.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\56-daylight-savings.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\hours-of-work\57-make-up-time.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\index.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\58-public-holidays.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\59-annual-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\60-cashing-out-of-annual-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\61-purchased-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\62-personal-leave-including-carer-s-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\63-casual-employment-caring-responsibilities.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\64-fitness-for-work.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\65-reasonable-adjustments.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\66-family-violence-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\67-compassionate-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\68-pre-natal-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\69-pre-adoption-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\70-parental-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\71-breastfeeding.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\72-long-service-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\73-blood-donors-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\74-leave-to-engage-in-voluntary-emergency-management.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\75-ceremonial-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\76-jury-service.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\76A-absences-on-defence-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\77-special-disaster-leave.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\leave\78-gender-transition-leave.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\ohs.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\100-incident-reporting-investigation-and-prevention.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\101-designated-work-groups.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\102-hsrs.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\103-occupational-violence-and-aggression-prevention-and.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\104-workers-compensation-rehabilitation-and-return-to.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\105-home-visit-safety.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\106-facilities.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\97-ohs-preliminary.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\98-industry-ohs-working-group.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\ohs\99-ohs-risk-management.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\allied-health\preliminary.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\preliminary\1-agreement-title.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\preliminary\10-anti-discrimination.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\preliminary\11-transfer-of-business.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\preliminary\12-individual-flexibility-arrangement.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\preliminary\2-arrangement.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\preliminary\3-index.md
INJECT-EBA| eba=Allied Health Professionals 2021-2026 | C:\Projects\EBAdb\docs\ebas\allied-health\preliminary\4-definitions.md
